word	bank	sentiment
감사	shinhan	pos
은행	shinhan	pos
편리	shinhan	pos
만족	shinhan	pos
업데이트	shinhan	pos
서비스	shinhan	pos
유용	shinhan	pos
사용	shinhan	pos
혜택	shinhan	pos
최고	shinhan	pos
이용	shinhan	pos
계좌	shinhan	pos
금융	shinhan	pos
뱅크	shinhan	pos
슈퍼	shinhan	pos
확인	shinhan	pos
메뉴	shinhan	pos
이체	shinhan	pos
카드	shinhan	pos
신한	shinhan	pos
이벤트	shinhan	pos
신한은행	shinhan	pos
포인트	shinhan	pos
불편	shinhan	pos
정보	shinhan	pos
친절	shinhan	pos
