word	bank	sentiment
감사	hana	pos
하나	hana	pos
은행	hana	pos
편리	hana	pos
만족	hana	pos
업데이트	hana	pos
서비스	hana	pos
거래	hana	pos
사용	hana	pos
설치	hana	pos
가능	hana	pos
최고	hana	pos
이용	hana	pos
상품	hana	pos
계좌	hana	pos
금융	hana	pos
가입	hana	pos
설명	hana	pos
처리	hana	pos
확인	hana	pos
기능	hana	pos
이체	hana	pos
이벤트	hana	pos
통장	hana	pos
불편	hana	pos
번호	hana	pos
친절	hana	pos
적금	hana	pos
